classifier,model,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,Xception,256,0.836,0.84,0.836,0.833,0.672,0.7879999999999999,0.672,0.725,0.9790000000000001,0.982,0.021,0.32799999999999996,0.212,0.978
RF,VGG16,256,0.8859999999999999,0.889,0.8859999999999999,0.88,0.73,0.88,0.73,0.7979999999999999,0.983,0.99,0.017,0.27,0.12,0.985
RF,VGG19,256,0.884,0.887,0.884,0.878,0.723,0.8740000000000001,0.723,0.7909999999999999,0.983,0.99,0.017,0.27699999999999997,0.126,0.985
RF,ResNet50,256,0.774,0.8059999999999999,0.774,0.782,0.65,0.6709999999999999,0.65,0.66,0.977,0.9740000000000001,0.023,0.35,0.32899999999999996,0.97
RF,ResNet101,256,0.7559999999999999,0.795,0.7559999999999999,0.767,0.636,0.603,0.636,0.619,0.977,0.973,0.023,0.364,0.397,0.968
RF,ResNet152,256,0.778,0.813,0.778,0.7879999999999999,0.6890000000000001,0.6659999999999999,0.6890000000000001,0.677,0.978,0.9740000000000001,0.022000000000000002,0.311,0.33399999999999996,0.97
RF,ResNet50V2,256,0.8640000000000001,0.868,0.8640000000000001,0.851,0.65,0.909,0.65,0.758,0.978,0.99,0.022000000000000002,0.35,0.091,0.982
RF,ResNet101V2,256,0.863,0.866,0.863,0.851,0.6509999999999999,0.9,0.6509999999999999,0.7559999999999999,0.978,0.9890000000000001,0.022000000000000002,0.349,0.1,0.982
RF,ResNet152V2,256,0.86,0.868,0.86,0.847,0.657,0.937,0.657,0.772,0.975,0.9890000000000001,0.025,0.34299999999999997,0.063,0.981
RF,InceptionV3,256,0.812,0.825,0.812,0.804,0.631,0.8320000000000001,0.631,0.718,0.9740000000000001,0.9790000000000001,0.026000000000000002,0.369,0.168,0.975
RF,InceptionResNetV2,256,0.83,0.835,0.83,0.823,0.6679999999999999,0.79,0.6679999999999999,0.7240000000000001,0.978,0.982,0.022000000000000002,0.332,0.21,0.977
RF,MobileNet,256,0.86,0.868,0.86,0.8490000000000001,0.64,0.9229999999999999,0.64,0.7559999999999999,0.977,0.9890000000000001,0.023,0.36,0.077,0.981
RF,MobileNetV2,256,0.865,0.865,0.865,0.8540000000000001,0.662,0.865,0.662,0.75,0.9790000000000001,0.9890000000000001,0.021,0.33799999999999997,0.135,0.982
RF,DenseNet121,256,0.888,0.888,0.888,0.882,0.732,0.873,0.732,0.7959999999999999,0.9840000000000001,0.99,0.016,0.268,0.127,0.985
RF,DenseNet169,256,0.8859999999999999,0.885,0.8859999999999999,0.88,0.731,0.873,0.731,0.7959999999999999,0.983,0.99,0.017,0.26899999999999996,0.127,0.985
